timestamp,status,service,lat,long,alt
1479425728743838071,0,0,37.4928855896,-122.382591248,47.0776405334
1479425728747487068,0,0,37.4928855896,-122.382591248,47.0816879272
1479425728750332117,0,0,37.4928855896,-122.382591248,47.0857467651
1479425728751904010,0,0,37.4928855896,-122.382591248,47.0898170471
1479425728753854990,0,0,37.4928855896,-122.382591248,47.0938987732
1479425728754970073,0,0,37.4928855896,-122.382591248,47.1004562378
1479425728757523059,0,0,37.4928855896,-122.382583618,47.1045608521
1479425728760030031,0,0,37.4928855896,-122.382583618,47.1086730957
1479425728762517929,0,0,37.4928855896,-122.382583618,47.1127967834
1479425728764983892,0,0,37.4928855896,-122.382583618,47.1169090271
1479425728767493963,0,0,37.4928855896,-122.382583618,47.1210327148
1479425728769900083,0,0,37.4928855896,-122.382583618,47.1251525879
1479425728772484064,0,0,37.4928855896,-122.382583618,47.1292686462
1479425728774931907,0,0,37.4928855896,-122.382583618,47.1345405579
1479425728777482032,0,0,37.4928855896,-122.382583618,47.1386413574
1479425728780000925,0,0,37.4928855896,-122.382583618,47.1427383423
1479425728782502889,0,0,37.4928855896,-122.382583618,47.1468276978
1479425728784975051,0,0,37.4928855896,-122.382583618,47.1509170532
1479425728787482976,0,0,37.4928855896,-122.382575989,47.155002594
1479425728789895057,0,0,37.4928855896,-122.382575989,47.1590805054
1479425728792526960,0,0,37.4928855896,-122.382575989,47.1631584167
1479425728795006990,0,0,37.4928855896,-122.382575989,47.1683311462
1479425728797503948,0,0,37.4928855896,-122.382575989,47.1724014282
1479425728799973011,0,0,37.4928855896,-122.382575989,47.1764717102
1479425728802505016,0,0,37.4928855896,-122.382575989,47.1805458069
1479425728804987907,0,0,37.4928855896,-122.382575989,47.184627533
1479425728807552099,0,0,37.4928855896,-122.382575989,47.188709259
1479425728809900999,0,0,37.4928855896,-122.382575989,47.1927909851
1479425728812500953,0,0,37.4928855896,-122.382575989,47.1968765259
1479425728814975976,0,0,37.4928855896,-122.382575989,47.2025947571
1479425728817486047,0,0,37.4928894043,-122.382568359,47.2066841125
1479425728819961071,0,0,37.4928894043,-122.382568359,47.2107772827
1479425728822501897,0,0,37.4928894043,-122.382568359,47.2148666382
1479425728824985027,0,0,37.4928894043,-122.382568359,47.2189483643
1479425728827554941,0,0,37.4928894043,-122.382568359,47.223033905
1479425728829920053,0,0,37.4928894043,-122.382568359,47.2271156311
1479425728832483053,0,0,37.4928894043,-122.382568359,47.2311935425
1479425728834973096,0,0,37.4928894043,-122.382568359,47.2380409241
1479425728837543964,0,0,37.4928894043,-122.382568359,47.2421035767
1479425728839984893,0,0,37.4928894043,-122.382568359,47.2461547852
1479425728842524051,0,0,37.4928894043,-122.382568359,47.2501983643
1479425728844991922,0,0,37.4928894043,-122.382568359,47.2542266846
1479425728847517967,0,0,37.4928894043,-122.38256073,47.2582473755
1479425728849931001,0,0,37.4928894043,-122.38256073,47.262260437
1479425728852581024,0,0,37.4928894043,-122.38256073,47.2662734985
1479425728854979991,0,0,37.4928894043,-122.38256073,47.2723846436
1479425728857556104,0,0,37.4928894043,-122.38256073,47.2764015198
1479425728860008955,0,0,37.4928894043,-122.38256073,47.2804260254
1479425728862509012,0,0,37.4928894043,-122.38256073,47.2844581604
1479425728865025043,0,0,37.4928894043,-122.38256073,47.2885055542
1479425728867487907,0,0,37.4928894043,-122.38256073,47.2925491333
1479425728869997024,0,0,37.4928894043,-122.38256073,47.2965927124
1479425728872523069,0,0,37.4928894043,-122.38256073,47.3006362915
1479425728875011920,0,0,37.4928894043,-122.38256073,47.3054466248
1479425728877528905,0,0,37.4928894043,-122.382553101,47.3094863892
1479425728879971981,0,0,37.4928894043,-122.382553101,47.3135223389
1479425728882513999,0,0,37.4928894043,-122.382553101,47.3175582886
1479425728885037899,0,0,37.4928894043,-122.382553101,47.3215866089
1479425728887588977,0,0,37.4928894043,-122.382553101,47.3256149292
1479425728889971971,0,0,37.4928894043,-122.382553101,47.3296394348
1479425728892496109,0,0,37.4928894043,-122.382553101,47.333656311
1479425728895025968,0,0,37.4928894043,-122.382553101,47.340221405
1479425728897526025,0,0,37.4928894043,-122.382553101,47.3442192078
1479425728899993896,0,0,37.4928894043,-122.382553101,47.3482055664
1479425728902601003,0,0,37.4928894043,-122.382553101,47.3521766663
1479425728904987096,0,0,37.4928894043,-122.382553101,47.356136322
1479425728907529115,0,0,37.4928894043,-122.382553101,47.3600883484
1479425728909295082,0,0,37.4928894043,-122.382545471,47.3640327454
1479425728912512063,0,0,37.4928894043,-122.382545471,47.367980957
1479425728914980888,0,0,37.4928894043,-122.382545471,47.3744392395
1479425728917531013,0,0,37.4928894043,-122.382545471,47.3783988953
1479425728919989109,0,0,37.4928894043,-122.382545471,47.3823699951
1479425728922506093,0,0,37.4928894043,-122.382545471,47.3863525391
1479425728924999952,0,0,37.4928894043,-122.382545471,47.3770484924
1479425728927536964,0,0,37.4928894043,-122.382545471,47.3810386658
1479425728929949045,0,0,37.492893219,-122.382545471,47.3850364685
1479425728932526111,0,0,37.492893219,-122.382545471,47.3890304565
1479425728935023069,0,0,37.492893219,-122.382545471,47.3935394287
1479425728937541007,0,0,37.492893219,-122.382545471,47.3975296021
1479425728940030097,0,0,37.492893219,-122.382537842,47.401512146
1479425728942526102,0,0,37.492893219,-122.382537842,47.4054946899
1479425728945008993,0,0,37.492893219,-122.382537842,47.4094619751
1479425728947539091,0,0,37.492893219,-122.382537842,47.413433075
1479425728949939966,0,0,37.492893219,-122.382537842,47.4174003601
1479425728952517986,0,0,37.492893219,-122.382537842,47.4213600159
1479425728955029964,0,0,37.492893219,-122.382537842,47.4269599915
1479425728957572937,0,0,37.492893219,-122.382537842,47.4309082031
1479425728960093021,0,0,37.492893219,-122.382537842,47.4348449707
1479425728962610960,0,0,37.492893219,-122.382537842,47.4387741089
1479425728965080022,0,0,37.492893219,-122.382537842,47.4426841736
1479425728967633008,0,0,37.492893219,-122.382537842,47.4465904236
1479425728970026016,0,0,37.492893219,-122.382530212,47.4504928589
1479425728972573041,0,0,37.492893219,-122.382530212,47.4543914795
1479425728975080013,0,0,37.492893219,-122.382530212,47.4616851807
1479425728977623939,0,0,37.492893219,-122.382530212,47.4655914307
1479425728980072021,0,0,37.492893219,-122.382530212,47.4695053101
1479425728982533931,0,0,37.492893219,-122.382530212,47.4734268188
1479425728985063076,0,0,37.492893219,-122.382530212,47.4773674011
1479425728987567901,0,0,37.492893219,-122.382530212,47.4813041687
1479425728989983081,0,0,37.492893219,-122.382530212,47.4852409363
1479425728992561101,0,0,37.492893219,-122.382530212,47.4891738892
1479425728995083093,0,0,37.492893219,-122.382530212,47.4969978333
1479425728997602939,0,0,37.492893219,-122.382530212,47.500919342
1479425729000060081,0,0,37.492893219,-122.382522583,47.5048370361
1479425729002600908,0,0,37.492893219,-122.382522583,47.5087432861
1479425729005038022,0,0,37.492893219,-122.382522583,47.5126495361
1479425729007561922,0,0,37.492893219,-122.382522583,47.5165519714
1479425729010035991,0,0,37.492893219,-122.382522583,47.5204544067
1479425729012574911,0,0,37.492893219,-122.382522583,47.5243644714
1479425729015068054,0,0,37.492893219,-122.382522583,47.5309143066
1479425729017579078,0,0,37.492893219,-122.382522583,47.5348320007
1479425729020072937,0,0,37.492893219,-122.382522583,47.5387535095
1479425729022598981,0,0,37.492893219,-122.382522583,47.5426750183
1479425729025094032,0,0,37.492893219,-122.382522583,47.5465812683
1479425729027586936,0,0,37.492893219,-122.382522583,47.5504875183
1479425729030002117,0,0,37.492893219,-122.382514954,47.5543785095
1479425729032608032,0,0,37.492893219,-122.382514954,47.5582618713
1479425729035106897,0,0,37.492893219,-122.382514954,47.5634689331
