timestamp,gear_state,gear_cmd
1479425728777022955,4,0
1479425728827140841,4,0
1479425728877185620,4,0
1479425728927296236,4,0
1479425728977362793,4,0
1479425729027493988,4,0
1479425729077587964,4,0
1479425729127635507,4,0
1479425729177731812,4,0
1479425729227782680,4,0
1479425729277871573,4,0
1479425729327966056,4,0
1479425729378091609,4,0
1479425729428171535,4,0
1479425729478240216,4,0
1479425729528279202,4,0
1479425729578376740,4,0
1479425729628483501,4,0
1479425729678588558,4,0
1479425729728651681,4,0
1479425729778754410,4,0
1479425729828799727,4,0
1479425729878919178,4,0
1479425729928985824,4,0
1479425729979058525,4,0
1479425730029163474,4,0
1479425730079256368,4,0
1479425730129319879,4,0
1479425730179414066,4,0
1479425730229463735,4,0
1479425730279580144,4,0
1479425730329646689,4,0
1479425730379785121,4,0
1479425730429844673,4,0
1479425730479941828,4,0
1479425730530009761,4,0
1479425730580143427,4,0
1479425730630163523,4,0
1479425730680261272,4,0
1479425730730334009,4,0
1479425730780431373,4,0
1479425730830492179,4,0
1479425730880611585,4,0
1479425730930687449,4,0
1479425730980920760,4,0
1479425731030917381,4,0
1479425731081140637,4,0
1479425731131140222,4,0
1479425731181153196,4,0
1479425731231396903,4,0
1479425731281359991,4,0
1479425731331368677,4,0
1479425731381575024,4,0
1479425731431575234,4,0
1479425731481599555,4,0
1479425731531692017,4,0
1479425731581780611,4,0
1479425731631873244,4,0
1479425731681920730,4,0
1479425731732012278,4,0
1479425731782094538,4,0
1479425731832219475,4,0
1479425731882268579,4,0
1479425731932364822,4,0
1479425731982494782,4,0
1479425732032570550,4,0
1479425732082836586,4,0
1479425732132690912,4,0
1479425732182819942,4,0
1479425732232868199,4,0
1479425732282968454,4,0
1479425732333027725,4,0
1479425732383107298,4,0
1479425732433215730,4,0
1479425732483276919,4,0
1479425732533367964,4,0
1479425732583438630,4,0
1479425732633712377,4,0
1479425732683832364,4,0
1479425732733730959,4,0
1479425732783916719,4,0
1479425732833863450,4,0
1479425732883950156,4,0
1479425732934078757,4,0
1479425732984126296,4,0
1479425733034227989,4,0
1479425733084347242,4,0
1479425733134378253,4,0
1479425733184462148,4,0
1479425733234579937,4,0
1479425733284695320,4,0
1479425733334742975,4,0
1479425733384804202,4,0
1479425733434921077,4,0
1479425733484994577,4,0
1479425733535069622,4,0
1479425733585193018,4,0
1479425733635234412,4,0
1479425733685317775,4,0
1479425733735418197,4,0
1479425733785498958,4,0
1479425733835850290,4,0
1479425733885663286,4,0
1479425733935863326,4,0
1479425733985826721,4,0
1479425734035904617,4,0
1479425734085971794,4,0
1479425734136066470,4,0
1479425734186271078,4,0
1479425734236240149,4,0
1479425734286335998,4,0
1479425734336430223,4,0
1479425734386572289,4,0
1479425734436608485,4,0
1479425734486695780,4,0
1479425734536781945,4,0
1479425734586838274,4,0
1479425734636903604,4,0
1479425734686984233,4,0
1479425734737071574,4,0
1479425734787165614,4,0
1479425734837257344,4,0
1479425734887345608,4,0
1479425734937442116,4,0
1479425734987584927,4,0
1479425735037647685,4,0
1479425735087692313,4,0
1479425735137788927,4,0
1479425735187868129,4,0
1479425735237936608,4,0
1479425735288024959,4,0
1479425735338111513,4,0
1479425735388183110,4,0
1479425735438261167,4,0
1479425735488338401,4,0
1479425735538441603,4,0
1479425735588580509,4,0
1479425735638634753,4,0
1479425735688698183,4,0
1479425735739054996,4,0
1479425735788868604,4,0
1479425735838936261,4,0
1479425735889026526,4,0
1479425735939139760,4,0
1479425735989185232,4,0
1479425736039310939,4,0
1479425736089373447,4,0
1479425736139458275,4,0
1479425736189576941,4,0
1479425736239647695,4,0
1479425736289687864,4,0
1479425736339768438,4,0
1479425736389860510,4,0
1479425736439961659,4,0
1479425736490070671,4,0
1479425736540130034,4,0
1479425736590227351,4,0
1479425736640296202,4,0
1479425736690363980,4,0
1479425736740469471,4,0
1479425736790584536,4,0
1479425736840645935,4,0
1479425736890710769,4,0
1479425736940838614,4,0
1479425736990911242,4,0
1479425737040971042,4,0
1479425737091058814,4,0
1479425737141164666,4,0
1479425737191234921,4,0
1479425737241320702,4,0
1479425737291421333,4,0
1479425737341565832,4,0
1479425737391572061,4,0
1479425737441673974,4,0
1479425737491740529,4,0
1479425737541825394,4,0
1479425737591914597,4,0
1479425737642018211,4,0
1479425737692070791,4,0
1479425737742149111,4,0
1479425737792261661,4,0
1479425737842343201,4,0
1479425737892437339,4,0
1479425737942664689,4,0
1479425737992584300,4,0
1479425738042838766,4,0
1479425738092735853,4,0
1479425738142980088,4,0
1479425738192913632,4,0
1479425738243002852,4,0
1479425738293101155,4,0
1479425738343162422,4,0
1479425738393335019,4,0
1479425738443602090,4,0
1479425738493455754,4,0
1479425738543581441,4,0
1479425738593609489,4,0
1479425738643717013,4,0
1479425738693756511,4,0
1479425738743833303,4,0
1479425738793933343,4,0
1479425738844036391,4,0
1479425738894104780,4,0
1479425738944186428,4,0
1479425738994360439,4,0
1479425739044402209,4,0
1479425739094566658,4,0
1479425739144603293,4,0
1479425739194605713,4,0
1479425739244708527,4,0
1479425739295049117,4,0
1479425739344858053,4,0
1479425739395028616,4,0
1479425739445117070,4,0
1479425739495213345,4,0
1479425739545320282,4,0
1479425739595271369,4,0
1479425739645369532,4,0
1479425739695468937,4,0
1479425739745567453,4,0
1479425739795650082,4,0
1479425739845734296,4,0
1479425739895878567,4,0
1479425739945869942,4,0
1479425739995949272,4,0
1479425740046093913,4,0
1479425740096154411,4,0
1479425740146357112,4,0
1479425740196298261,4,0
1479425740246463696,4,0
1479425740296480547,4,0
1479425740346584519,4,0
1479425740396650166,4,0
1479425740446736583,4,0
1479425740496824942,4,0
1479425740546882714,4,0
1479425740596981400,4,0
1479425740647290806,4,0
1479425740697147737,4,0
1479425740747317240,4,0
1479425740797320459,4,0
1479425740847404339,4,0
1479425740897566466,4,0
1479425740947582869,4,0
1479425740997753330,4,0
1479425741047734917,4,0
1479425741097957326,4,0
1479425741147911745,4,0
1479425741198006056,4,0
1479425741248067239,4,0
1479425741298195732,4,0
1479425741348228858,4,0
1479425741398295184,4,0
1479425741448397946,4,0
1479425741498565854,4,0
1479425741548608538,4,0
1479425741598651619,4,0
1479425741648738984,4,0
1479425741698822497,4,0
1479425741748909794,4,0
1479425741799020267,4,0
1479425741849089415,4,0
1479425741899184144,4,0
1479425741949268456,4,0
1479425741999379707,4,0
1479425742049456226,4,0
1479425742099563761,4,0
1479425742149590442,4,0
1479425742199697040,4,0
1479425742249772614,4,0
1479425742299864875,4,0
1479425742349957618,4,0
1479425742400003707,4,0
1479425742450135798,4,0
1479425742500199904,4,0
1479425742550268604,4,0
1479425742600358289,4,0
1479425742650461032,4,0
1479425742700581194,4,0
1479425742750604532,4,0
1479425742800691576,4,0
1479425742850775397,4,0
1479425742900890818,4,0
1479425742950959844,4,0
1479425743001046597,4,0
1479425743051109329,4,0
1479425743101184484,4,0
1479425743151271661,4,0
1479425743201360271,4,0
1479425743251460048,4,0
1479425743301569342,4,0
1479425743351609305,4,0
1479425743401727988,4,0
1479425743451815143,4,0
1479425743501883657,4,0
1479425743551949402,4,0
1479425743602048071,4,0
1479425743652141763,4,0
1479425743702227021,4,0
1479425743752308257,4,0
1479425743802663155,4,0
1479425743852459793,4,0
1479425743902568892,4,0
1479425743952677429,4,0
1479425744002834703,4,0
1479425744052821759,4,0
1479425744103061335,4,0
1479425744152979284,4,0
1479425744203308340,4,0
1479425744253147059,4,0
1479425744303235701,4,0
1479425744353315277,4,0
1479425744403409627,4,0
1479425744453635033,4,0
1479425744503570902,4,0
1479425744553736386,4,0
1479425744603739654,4,0
1479425744654043925,4,0
1479425744703922787,4,0
1479425744754001716,4,0
1479425744804065923,4,0
1479425744854159078,4,0
1479425744904253359,4,0
1479425744954336956,4,0
1479425745004402016,4,0
1479425745054566536,4,0
1479425745104590435,4,0
1479425745154650871,4,0
1479425745204734862,4,0
1479425745254854422,4,0
1479425745304912627,4,0
1479425745355023616,4,0
1479425745405091003,4,0
1479425745455205215,4,0
1479425745505269861,4,0
1479425745555343183,4,0
